Period,Y,C,I,L,K,T_total_revenue,Tc,Tl,Tf
0,0.3615295157067084,0.2657014239296323,0.01899598333617975,0.27970151881171357,0.7490033339845412,0.26239291098852463,0.026570142392963233,0.19239139201003078,0.017745108324198806
1,0.3626864101569699,0.26697679076449454,0.01907196726952447,0.280260921849337,0.7490033339845412,0.2632325683036879,0.026655166848620716,0.1930070444644629,0.017801892670836244
2,0.36366977043969206,0.26806085257412743,0.019136553612867483,0.2807364144313169,0.7490033339845412,0.2639462770215767,0.026727437635929573,0.19353034905073013,0.017850159365478062
3,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
4,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
5,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
6,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
7,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
8,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
9,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
10,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
11,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
12,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
13,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
14,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
15,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
16,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
17,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
18,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
19,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
20,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
21,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
22,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
23,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
24,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
25,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
26,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
27,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
28,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
29,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
30,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
31,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
32,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
33,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
34,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
35,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
36,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
37,0.3641325282197967,0.2685709993080723,0.019166947186205367,0.2809601756463663,0.7490033339845412,0.26428213994764205,0.02676144741819257,0.19377661003250302,0.01787287310413304
